5.897,26.525
23.587,53.050
39.803,145.889
51.597,265.252
63.391,590.186
69.287,895.225
73.710,1133.952
78.133,1273.210
89.926,1133.952
98.772,1246.684
106.143,1326.260
117.936,1213.528
128.256,994.695
140.049,915.119
147.420,1094.164
151.843,1372.679
159.214,1810.345
166.585,2155.172
178.378,2228.117
179.853,1856.764
184.27518,1246.68433
188.69778,755.96814
199.0172,1061.01
221.13022,1094.16
227.02702,895.22546
265.35626,477.45358
306.63391,311.67108
355.28256,218.83289
403.93121,172.41379
458.47665,185.67639
505.65109,205.5703
543.98035,258.6207
570.51599,258.6207
